id,input_type,content,label
151,text,Обнаружена подозрительная активность. Проверьте аккаунт: 325,phish
152,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 601",phish
153,url,https://Kaspi-verify-account-468.site,phish
154,text,Давай встретимся после уроков.,safe
155,text,Можешь помочь с работой?,safe
156,url,http://secure-check722.site,phish
157,text,Мы заметили подозрительную активность. Проведите проверку: 274,phish
158,url,https://kaspi.kz/574,safe
159,url,https://mail.google.com/407,safe
160,url,http://update-Telegram-security-857.com,phish
161,url,https://edu.kz/767,safe
162,text,Спасибо за информацию!,safe
163,url,https://gov.kz/646,safe
164,text,Мы заметили подозрительную активность. Проведите проверку: 785,phish
165,url,https://kaspi.kz/401,safe
166,url,https://mail.google.com/698,safe
167,url,https://promo-gift534.org,phish
168,text,Мы заметили подозрительную активность. Проведите проверку: 871,phish
169,text,Обнаружена подозрительная активность. Проверьте аккаунт: 753,phish
170,url,https://promo-gift165.org,phish
171,text,Подтвердите аккаунт по ссылке!,phish
172,url,https://mail.google.com/579,safe
173,url,https://VK-verify-account-830.site,phish
174,url,http://bank-Ukraine-confirm-240.net,phish
175,text,"Техподдержка Google. Отправьте код из SMS, иначе аккаунт удалят.",phish
176,url,https://mail.google.com/197,safe
177,url,https://update-account248.net,phish
178,url,https://github.com/617,safe
179,text,Ваш банковский счёт будет заблокирован. Обновите реквизиты.,phish
180,url,http://secure-check573.site,phish
181,text,Увидимся завтра на встрече.,safe
182,url,https://Instagram-verify-account-795.site,phish
183,text,Внимание! Ваш заказ не может быть доставлен. Подтвердите адрес здесь.,phish
184,text,"Напоминаем, что завтра собрание в школе.",safe
185,url,https://mail.google.com/255,safe
186,text,"Как дела, всё хорошо?",safe
187,url,https://TikTok-support-center-240.info,phish
188,text,Ваш платеж успешно выполнен. Подробности в приложении.,safe
189,text,"СРОЧНО! Ваш коллега в беде. Нужны деньги. Не звоните, переведите сюда!",phish
190,url,http://secure-check2467.site,phish
191,url,https://mail.google.com/168,safe
192,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 762",phish
193,text,Ваша карта UnionPay заблокирована. Заполните форму для разблокировки.,phish
194,text,Как прошёл экзамен?,safe
195,url,http://secure-login-Mail.ru.com/verify,phish
196,url,http://secure-check505.site,phish
197,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 760",phish
198,url,https://gov.kz/401,safe
199,url,https://promo-gift284.org,phish
200,url,https://edu.kz/488,safe
201,url,https://gov.kz/179,safe
202,text,Обновление безопасности Google. Введите пароль для продолжения работы.,phish
203,url,http://bank-confirm608.ru,phish
204,text,Подтвердите личность. Отправьте скан документа по ссылке ниже.,phish
205,url,https://safety-check-Mail.ru-692.org,phish
206,url,https://promo-gift812.org,phish
207,url,http://secure-check216.site,phish
208,text,Акция! Пополни баланс и получи х2. Осталось 10 минут!,phish
209,text,Бонус 5000 тенге на ваш счёт! Активируйте по ссылке в течение часа.,phish
210,url,https://free-Samsung Galaxy-giveaway-978.org,phish
211,url,https://gov.kz/680,safe
212,text,Ваш платеж успешно выполен. Проверьте детали в приложении.,safe
213,url,https://gov.kz/789,safe
214,text,Мы заметили подозрительную активность. Проведите проверку: 751,phish
215,url,https://youtube.com/watch?v=558,safe
216,url,http://bank-confirm538.ru,phish
217,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 398",phish
218,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 628",phish
219,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 23",phish
220,text,Срочно! Ваш банковский счёт будет закрыт через 24 часов. Обновите реквизиты.,phish
221,url,http://secure-check811.site,phish
222,url,http://promo-bonus-Instagram-576.info,phish
223,url,http://bank-confirm252.ru,phish
224,text,Обновление безопасности Facebook. Введите пароль для продолжения работы.,phish
225,text,Мы заметили подозрительную активность. Проведите проверку: 736,phish
226,text,Когда будет следующая лекция?,safe
227,text,Ваш аккаунт Mail.ru заблокирован. Срочно подтвердите данные по ссылке.,phish
228,url,https://kaspi.kz/456,safe
229,url,https://kaspi.kz/400,safe
230,url,https://Kaspi-payment-confirm-874.net,phish
231,url,https://kaspi.kz/457,safe
232,url,http://secure-check376.site,phish
233,text,Мы заметили подозрительную активность. Проведите проверку: 322,phish
234,url,http://update-Steam-security-739.com,phish
235,url,https://mail.google.com/627,safe
236,url,https://kaspi.kz/152,safe
237,url,https://safety-check-WhatsApp-614.org,phish
238,text,Последнее предупреждение! Оплатите задолженность 50000 тг до 15.12.2024.,phish
239,text,Обнаружена подозрительная активность в аккаунте Google. Проверьте срочно!,phish
240,url,https://edu.kz/448,safe
241,url,https://mail.google.com/256,safe
242,text,Обнаружена подозрительная активность. Проверьте аккаунт: 432,phish
243,text,Напоминаем что завтра состоится школьное собрание.,safe
244,url,https://free-iPhone 15-giveaway-336.org,phish
245,url,http://bank-confirm762.ru,phish
246,text,"Техподдержка Mail.ru. Отправьте код из SMS, иначе аккаунт удалят.",phish
247,text,Срочно верифицируйте аккаунт по ссылке!,phish
248,url,http://update-Kaspi-security-769.com,phish
249,url,http://secure-check126.site,phish
250,text,Мы заметили подозрительную активность. Проведите проверку: 895,phish
251,text,Аккаунт заблокирован! Нажмите сюда!,phish
252,url,https://kaspi.kz/171,safe
253,url,https://edu.kz/660,safe
254,url,https://promo-gift491.org,phish
255,url,https://safety-check-VK-278.org,phish
256,url,https://gov.kz/685,safe
257,url,https://kaspi.kz/122,safe
258,url,https://gov.kz/402,safe
259,url,http://bank-confirm556.ru,phish
260,url,https://google.com/348,safe
261,text,"Срочно оплатите задолженность, иначе доступ будет закрыт.",phish
262,url,https://safety-check-Instagram-878.org,phish
263,text,Где можно найти учебные материалы?,safe
264,text,Отправил тебе файлы в чат.,safe
265,url,http://secure-check458.site,phish
266,text,Обнаружена подозрительная активность. Проверьте аккаунт: 754,phish
267,text,"Срочно оплатите задолженность, иначе доступ будет закрыт!",phish
268,url,https://update-account891.net,phish
269,url,http://bank-confirm914.ru,phish
270,url,https://github.com/597,safe
271,url,https://WhatsApp-payment-confirm-769.net,phish
272,url,http://secure-login-Steam.com/verify,phish
273,url,http://secure-check724.site,phish
274,url,https://kaspi.kz/200,safe
275,url,https://kaspi.kz/121,safe
276,url,https://promo-gift392.org,phish
277,text,Ваш аккаунт заблокирован. Восстановите доступ!,phish
278,url,http://update-Facebook-security-615.com,phish
279,text,Напоминаем что завтра собрание в школе.,safe
280,url,https://Kaspi-payment-confirm-431.net,phish
281,text,"Вы выиграли подарок! Чтобы получить, заполните форму: 248",phish
282,url,http://promo-bonus-Telegram-560.info,phish
283,url,https://edu.kz/661,safe
